['1', '杨晓华', '私募证券投资基金管理人', '上海市', 'P1000182', '2011-03-15', '2014-03-17']
['4', '齐天生', '私募股权、创业投资基金管理人', '山西省', 'P1003383', '2010-06-22', '2014-06-04']
['5', '梁培恒', '私募证券投资基金管理人', '山西省', 'P1003384', '2004-09-17', '2014-06-04']
['6', '袁国胜', '私募证券投资基金管理人', '山西省', 'P1003385', '2011-08-26', '2014-06-04']
['7', '王松起', '私募股权、创业投资基金管理人', '山西省', 'P1003390', '2013-05-28', '2014-06-04']
['8', '王爱东', '私募证券投资基金管理人', '山西省', 'P1003392', '2011-06-28', '2014-06-04']
['9', '谢东海', '私募证券投资基金管理人', '上海市', 'P1003400', '2014-02-18', '2014-06-04']
['10', '蒋锴', '私募证券投资基金管理人', '上海市', 'P1003401', '2012-03-14', '2014-06-04']
['11', '杜龙泉', '私募股权、创业投资基金管理人', '上海市', 'P1003402', '2007-07-27', '2014-06-04']
['12', 'Xin Wu', '私募证券投资基金管理人', '上海市', 'P1003406', '2013-04-28', '2014-06-04']
['13', '毛雷', '私募证券投资基金管理人', '上海市', 'P1003407', '2013-05-28', '2014-06-04']
['14', '杨炳', '私募股权、创业投资基金管理人', '上海市', 'P1003408', '2011-10-24', '2014-06-04']
['15', '尤佳', '私募证券投资基金管理人', '上海市', 'P1003409', '2014-03-19', '2014-06-04']
['16', '于炳瀚', '上海市', 'P1003410', '2012-12-10', '2014-06-04']
['17', '穆荣存', '私募证券投资基金管理人', '上海市', 'P1003412', '2009-09-16', '2014-06-04']
['18', '吕俊', '私募证券投资基金管理人', '上海市', 'P1003413', '2011-03-09', '2014-06-04']
['19', '沈玮', '私募股权、创业投资基金管理人', '上海市', 'P1003414', '2014-03-05', '2014-06-04']
['20', '张超', '私募证券投资基金管理人', '上海市', 'P1003415', '2007-03-02', '2014-06-04']
['1', '许德培', '私募证券投资基金管理人', '上海市', 'P1003418', '2008-05-21', '2014-06-04']
['2', '严玉皎', '私募股权、创业投资基金管理人', '上海市', 'P1003419', '2013-05-17', '2014-06-04']
['3', '张金如', '上海市', 'P1003420', '2012-09-20', '2014-06-04']
['4', '孙涛', '私募证券投资基金管理人', '上海市', 'P1003422', '2003-12-23', '2014-06-04']
['5', '万强', '私募证券投资基金管理人', '上海市', 'P1003423', '2013-05-09', '2014-06-04']
['6', '占一淳', '其他私募投资基金管理人', '上海市', 'P1003425', '2012-07-30', '2014-06-04']
['7', '张文通', '私募股权、创业投资基金管理人', '上海市', 'P1003426', '2007-09-18', '2014-06-04']
['8', '吴小阳', '私募股权、创业投资基金管理人', '上海市', 'P1003427', '2014-03-21', '2014-06-04']
['9', '景一', '私募股权、创业投资基金管理人', '上海市', 'P1003428', '2013-05-02', '2014-06-04']
['10', '吴漫莉', '私募股权、创业投资基金管理人', '上海市', 'P1003429', '2013-11-08', '2014-06-04']
['11', '王丹枫', '私募证券投资基金管理人', '上海市', 'P1003431', '2014-04-24', '2014-06-04']
['12', '蔡军民', '私募证券投资基金管理人', '上海市', 'P1003432', '2014-03-25', '2014-06-04']
['13', '徐佳意', '私募证券投资基金管理人', '上海市', 'P1003433', '2012-09-05', '2014-06-04']
['14', '付红', '私募股权、创业投资基金管理人', '上海市', 'P1003434', '2013-02-27', '2014-06-04']
['15', '张立群', '私募证券投资基金管理人', '上海市', 'P1003437', '2014-04-16', '2014-06-04']
['16', '尹克', '私募证券投资基金管理人', '上海市', 'P1003439', '2014-03-14', '2014-06-04']
['17', '林军', '私募证券投资基金管理人', '上海市', 'P1003440', '2009-06-16', '2014-06-04']
['18', '陈晓', '私募股权、创业投资基金管理人', '上海市', 'P1003441', '2013-11-12', '2014-06-04']
['19', '赵靖宇', '私募股权、创业投资基金管理人', '上海市', 'P1003442', '2012-08-22', '2014-06-04']
['20', '王颖', '私募证券投资基金管理人', '上海市', 'P1003444', '2013-09-06', '2014-06-04']
['1', '王彪', '私募证券投资基金管理人', '上海市', 'P1003445', '2011-08-24', '2014-06-04']
['2', '潘卫雄', '其他私募投资基金管理人', '上海市', 'P1003451', '2011-10-21', '2014-06-04']
['3', '张辉', '私募证券投资基金管理人', '上海市', 'P1003455', '2011-07-15', '2014-06-04']
['4', '陈佳栋', '私募证券投资基金管理人', '上海市', 'P1003456', '2006-04-10', '2014-06-04']
['5', '范静', '私募股权、创业投资基金管理人', '上海市', 'P1003458', '2013-01-09', '2014-06-04']
['6', '韦红松', '私募股权、创业投资基金管理人', '上海市', 'P1003460', '2012-11-13', '2014-06-04']
['7', '毛羽', '私募证券投资基金管理人', '上海市', 'P1003463', '2013-12-19', '2014-06-04']
['8', '神和冲', '私募证券投资基金管理人', '上海市', 'P1003464', '2014-01-03', '2014-06-04']
['9', '肖永', '私募证券投资基金管理人', '上海市', 'P1003466', '2011-12-02', '2014-06-04']
['10', '王黎霞', '私募证券投资基金管理人', '上海市', 'P1003467', '2011-08-30', '2014-06-04']
['11', '赵云霞', '私募证券投资基金管理人', '上海市', 'P1003468', '2014-02-10', '2014-06-04']
['12', '徐新华', '私募证券投资基金管理人', '上海市', 'P1003469', '2013-08-27', '2014-06-04']
['13', '邓利平', '私募股权、创业投资基金管理人', '上海市', 'P1003471', '2007-05-15', '2014-06-04']
['14', '汤兆安', '私募股权、创业投资基金管理人', '上海市', 'P1003474', '2014-01-23', '2014-06-04']
['15', '方坚栋', '私募证券投资基金管理人', '上海市', 'P1003475', '2013-03-15', '2014-06-04']
['16', '徐玮', '私募证券投资基金管理人', '上海市', 'P1003478', '2013-05-22', '2014-06-04']
['17', '郭庆', '私募证券投资基金管理人', '上海市', 'P1003481', '2013-03-15', '2014-06-04']
['18', '邱红光', '私募股权、创业投资基金管理人', '上海市', 'P1003484', '2010-10-18', '2014-06-04']
['19', '邱红光', '私募股权、创业投资基金管理人', '上海市', 'P1003485', '1997-10-06', '2014-06-04']
['20', '张晔', '私募证券投资基金管理人', '上海市', 'P1003486', '2013-05-15', '2014-06-04']
['1', '林代联', '私募股权、创业投资基金管理人', '上海市', 'P1003488', '2011-10-28', '2014-06-04']
['2', '殷昌平', '私募证券投资基金管理人', '上海市', 'P1003489', '2004-03-11', '2014-06-04']
['3', '王江云', '私募股权、创业投资基金管理人', '上海市', 'P1003490', '2014-03-21', '2014-06-04']
['4', '顾佳芸', '私募证券投资基金管理人', '上海市', 'P1003492', '2014-04-28', '2014-06-04']
['5', '俞慧', '私募股权、创业投资基金管理人', '上海市', 'P1003494', '2010-05-10', '2014-06-04']
['6', '谢晓阳', '私募证券投资基金管理人', '上海市', 'P1003495', '2014-03-04', '2014-06-04']
['7', '陆珊珊', '私募证券投资基金管理人', '上海市', 'P1003497', '2013-11-22', '2014-06-04']
['8', '罗林', '私募证券投资基金管理人', '上海市', 'P1003498', '2013-02-05', '2014-06-04']
['9', '张举', '私募股权、创业投资基金管理人', '上海市', 'P1003499', '2013-06-20', '2014-06-04']
['10', '陈豪', '私募证券投资基金管理人', '上海市', 'P1003501', '2012-07-24', '2014-06-04']
['11', '戴秀琴', '私募股权、创业投资基金管理人', '上海市', 'P1003504', '2008-08-05', '2014-06-04']
['12', '蒲晓东', '私募股权、创业投资基金管理人', '上海市', 'P1003505', '2013-10-24', '2014-06-04']
['13', '刘琼', '私募证券投资基金管理人', '上海市', 'P1003506', '2014-01-07', '2014-06-04']
['14', '高冬', '私募股权、创业投资基金管理人', '上海市', 'P1003507', '2001-02-20', '2014-06-04']
['15', '肖家运', '私募股权、创业投资基金管理人', '上海市', 'P1003509', '2012-11-27', '2014-06-04']
['16', '廖翌芳', '私募股权、创业投资基金管理人', '上海市', 'P1003510', '2012-09-29', '2014-06-04']
['17', '郭敏芳', '私募股权、创业投资基金管理人', '上海市', 'P1003514', '2013-11-01', '2014-06-04']
['18', '何艳', '上海市', 'P1003515', '2013-06-09', '2014-06-04']
['19', '王正东', '私募股权、创业投资基金管理人', '上海市', 'P1003518', '2008-01-31', '2014-06-04']
['20', '宋东红', '私募证券投资基金管理人', '上海市', 'P1003519', '2010-05-11', '2014-06-04']
['1', '顾雪平', '私募股权、创业投资基金管理人', '上海市', 'P1003520', '2013-04-28', '2014-06-04']
['2', '张先领', '私募股权、创业投资基金管理人', '深圳市', 'P1003524', '2010-12-28', '2014-06-04']
['3', '曹清伟', '私募股权、创业投资基金管理人', '深圳市', 'P1003525', '2011-10-26', '2014-06-04']
['4', '尤明才', '私募证券投资基金管理人', '深圳市', 'P1003526', '2013-11-15', '2014-06-04']
['5', '林嘉喜', '私募股权、创业投资基金管理人', '深圳市', 'P1003529', '2013-12-06', '2014-06-04']
['6', '冯浩东', '私募股权、创业投资基金管理人', '深圳市', 'P1003530', '2013-05-31', '2014-06-04']
['7', '廖苑文', '私募股权、创业投资基金管理人', '深圳市', 'P1003532', '2014-03-27', '2014-06-04']
['8', '张文思 （Wensi Zhang）', '私募证券投资基金管理人', '深圳市', 'P1003533', '2013-07-01', '2014-06-04']
['9', '石汇', '私募股权、创业投资基金管理人', '深圳市', 'P1003534', '2013-07-15', '2014-06-04']
['10', '黄水泉', '私募证券投资基金管理人', '深圳市', 'P1003536', '2013-07-16', '2014-06-04']
['11', '张伟', '私募证券投资基金管理人', '深圳市', 'P1003537', '2014-02-19', '2014-06-04']
['12', '陈军', '私募股权、创业投资基金管理人', '深圳市', 'P1003542', '2013-04-07', '2014-06-04']
['13', '李鹏', '私募证券投资基金管理人', '深圳市', 'P1003551', '2011-09-28', '2014-06-04']
['14', '王永胜', '私募股权、创业投资基金管理人', '深圳市', 'P1003554', '2014-01-06', '2014-06-04']
['15', '谌立峰', '私募证券投资基金管理人', '深圳市', 'P1003556', '2013-07-04', '2014-06-04']
['16', '华猛', '私募证券投资基金管理人', '深圳市', 'P1003558', '2013-10-16', '2014-06-04']
['17', '朱民', '私募证券投资基金管理人', '深圳市', 'P1003560', '2013-03-19', '2014-06-04']
['18', '陈卫华', '私募股权、创业投资基金管理人', '深圳市', 'P1003561', '2013-07-12', '2014-06-04']
['19', '刘浩', '私募证券投资基金管理人', '深圳市', 'P1003563', '2013-12-23', '2014-06-04']
['20', '杨红进', '私募证券投资基金管理人', '深圳市', 'P1003564', '2013-12-06', '2014-06-04']
['1', '李和', '私募股权、创业投资基金管理人', '深圳市', 'P1003566', '2013-09-26', '2014-06-04']
['2', '熊俊', '私募股权、创业投资基金管理人', '深圳市', 'P1003572', '2013-04-23', '2014-06-04']
['3', '夏志燕', '私募证券投资基金管理人', '深圳市', 'P1003574', '2013-01-18', '2014-06-04']
['4', '佘涵星', '私募证券投资基金管理人', '深圳市', 'P1003576', '2014-01-17', '2014-06-04']
['5', '方浙', '私募证券投资基金管理人', '深圳市', 'P1003578', '2013-12-04', '2014-06-04']
['6', '肖超', '私募证券投资基金管理人', '深圳市', 'P1003580', '2010-05-10', '2014-06-04']
['7', '林少鹏', '私募股权、创业投资基金管理人', '深圳市', 'P1003581', '2013-07-05', '2014-06-04']
['8', '林克', '私募证券投资基金管理人', '深圳市', 'P1003582', '2013-01-31', '2014-06-04']
['9', '熊强波', '私募股权、创业投资基金管理人', '深圳市', 'P1003586', '2013-11-11', '2014-06-04']
['10', '夏逸楠', '私募股权、创业投资基金管理人', '深圳市', 'P1003587', '2008-08-22', '2014-06-04']
['11', '贺志力', '私募股权、创业投资基金管理人', '深圳市', 'P1003589', '2011-11-16', '2014-06-04']
['12', '宁金山', '私募证券投资基金管理人', '深圳市', 'P1003590', '2004-02-13', '2014-06-04']
['13', '朱鹏炜', '私募股权、创业投资基金管理人', '深圳市', 'P1003591', '2009-10-28', '2014-06-04']
['14', '朱春燕', '私募股权、创业投资基金管理人', '深圳市', 'P1003592', '2011-03-09', '2014-06-04']
['15', '杨振国', '私募证券投资基金管理人', '深圳市', 'P1003593', '2013-07-02', '2014-06-04']
['16', '赵江涛', '私募证券投资基金管理人', '深圳市', 'P1003595', '2011-05-06', '2014-06-04']
['17', '李强', '私募证券投资基金管理人', '深圳市', 'P1003597', '2011-06-01', '2014-06-04']
['18', '黄渐彬', '私募证券投资基金管理人', '深圳市', 'P1003599', '2013-10-31', '2014-06-04']
['19', '李振宇', '私募股权、创业投资基金管理人', '深圳市', 'P1003601', '2012-06-07', '2014-06-04']
['20', '帅美旭', '私募股权、创业投资基金管理人', '深圳市', 'P1003602', '2012-07-16', '2014-06-04']
['1', '胡旻', '私募证券投资基金管理人', '深圳市', 'P1003604', '2005-01-14', '2014-06-04']
['2', '熊熙', '其他私募投资基金管理人', '深圳市', 'P1003606', '2013-05-07', '2014-06-04']
['3', '王红军', '私募股权、创业投资基金管理人', '深圳市', 'P1003607', '2011-09-05', '2014-06-04']
['4', '邓大悦', '私募股权、创业投资基金管理人', '深圳市', 'P1003608', '2013-09-23', '2014-06-04']
['5', '陈修', '其他私募投资基金管理人', '深圳市', 'P1003609', '2014-01-24', '2014-06-04']
['6', '吴刚', '私募证券投资基金管理人', '深圳市', 'P1003610', '2011-04-21', '2014-06-04']
['7', '刘诗悦', '私募证券投资基金管理人', '深圳市', 'P1003611', '2013-08-14', '2014-06-04']
['8', '张琦', '私募股权、创业投资基金管理人', '深圳市', 'P1003613', '2011-06-20', '2014-06-04']
['9', '肖祖核', '私募股权、创业投资基金管理人', '深圳市', 'P1003614', '2013-11-25', '2014-06-04']
['10', '鲁威', '私募证券投资基金管理人', '深圳市', 'P1003617', '2012-12-20', '2014-06-04']
['11', '倪思远', '私募证券投资基金管理人', '深圳市', 'P1003618', '2013-01-18', '2014-06-04']
['12', '郑晓艺', '私募股权、创业投资基金管理人', '深圳市', 'P1003624', '2013-09-13', '2014-06-04']
['13', '李多禄', '私募股权、创业投资基金管理人', '深圳市', 'P1003626', '2011-01-25', '2014-06-04']
['14', '邱汉荣', '私募股权、创业投资基金管理人', '深圳市', 'P1003627', '2010-09-01', '2014-06-04']
['15', '王先霞', '私募证券投资基金管理人', '深圳市', 'P1003629', '2009-03-18', '2014-06-04']
['16', '邓宇鸣', '私募股权、创业投资基金管理人', '深圳市', 'P1003630', '2012-10-25', '2014-06-04']
['17', '黄彬', '私募股权、创业投资基金管理人', '深圳市', 'P1003631', '2011-03-08', '2014-06-04']
['18', '李英奇', '私募股权、创业投资基金管理人', '深圳市', 'P1003632', '2013-11-21', '2014-06-04']
['19', '黄雪娟', '私募证券投资基金管理人', '深圳市', 'P1003633', '2012-12-10', '2014-06-04']
['20', '杨永兴', '私募股权、创业投资基金管理人', '深圳市', 'P1003635', '2012-03-22', '2014-06-04']
['1', '贾君新', '私募股权、创业投资基金管理人', '深圳市', 'P1003636', '2013-09-30', '2014-06-04']
['2', '刘迅', '私募证券投资基金管理人', '深圳市', 'P1003637', '1997-12-24', '2014-06-04']
['3', '何香红', '其他私募投资基金管理人', '深圳市', 'P1003638', '2009-07-10', '2014-06-04']
['4', '薛华', '私募证券投资基金管理人', '深圳市', 'P1003639', '2013-10-22', '2014-06-04']
['5', '吉清', '私募股权、创业投资基金管理人', '深圳市', 'P1003641', '2013-06-17', '2014-06-04']
['6', '唐樾', '私募股权、创业投资基金管理人', '深圳市', 'P1003642', '2010-11-30', '2014-06-04']
['7', '黄明国', '私募股权、创业投资基金管理人', '广东省', 'P1003645', '2013-12-10', '2014-06-04']
['8', '秦鹏', '私募证券投资基金管理人', '深圳市', 'P1003647', '2011-10-19', '2014-06-04']
['9', '徐剑', '私募证券投资基金管理人', '深圳市', 'P1003649', '2014-04-04', '2014-06-04']
['10', '陶茂华', '私募股权、创业投资基金管理人', '深圳市', 'P1003650', '2013-07-25', '2014-06-04']
['11', '谢柳毅', '私募证券投资基金管理人', '深圳市', 'P1003653', '2010-12-17', '2014-06-04']
['12', '黄荔', '私募证券投资基金管理人', '深圳市', 'P1003655', '2013-12-20', '2014-06-04']
['13', '吴娟', '私募证券投资基金管理人', '深圳市', 'P1003657', '2013-09-27', '2014-06-04']
['14', '韩啸', '其他私募投资基金管理人', '深圳市', 'P1003658', '2013-08-07', '2014-06-04']
['15', '肖水龙', '私募股权、创业投资基金管理人', '深圳市', 'P1003661', '2010-11-16', '2014-06-04']
['16', 'KUANG YE', '私募证券投资基金管理人', '深圳市', 'P1003664', '2013-10-09', '2014-06-04']
['17', '左国友', '私募证券投资基金管理人', '深圳市', 'P1003669', '2011-06-01', '2014-06-04']
['18', '王伟', '私募证券投资基金管理人', '深圳市', 'P1003671', '2013-12-30', '2014-06-04']
['19', '于太祥', '私募股权、创业投资基金管理人', '深圳市', 'P1003672', '2013-04-25', '2014-06-04']
['20', '王曦', '私募证券投资基金管理人', '辽宁省', 'P1003677', '2008-03-26', '2014-06-04']
['1', '李智刚', '私募股权、创业投资基金管理人', '北京市', 'P1003679', '2013-10-17', '2014-06-04']
['2', '徐一军', '北京市', 'P1003682', '2013-12-26', '2014-06-04']
['3', '何卫国', '私募证券投资基金管理人', '深圳市', 'P1003683', '2013-12-05', '2014-06-04']
['4', '王林', '私募证券投资基金管理人', '河北省', 'P1003684', '2008-07-24', '2014-06-04']
['5', '张增林', '私募股权、创业投资基金管理人', '河北省', 'P1003685', '2011-09-09', '2014-06-04']
['6', '吴让波', '私募股权、创业投资基金管理人', '四川省', 'P1003688', '2014-02-13', '2014-06-04']
['7', '李来春', '私募股权、创业投资基金管理人', '四川省', 'P1003692', '2013-09-29', '2014-06-04']
['8', '毛伟辉', '私募股权、创业投资基金管理人', '四川省', 'P1003694', '2014-02-17', '2014-06-04']
['9', '马云', '私募股权、创业投资基金管理人', '四川省', 'P1003696', '2012-08-17', '2014-06-04']
['10', '先超', '私募股权、创业投资基金管理人', '四川省', 'P1003697', '2013-08-28', '2014-06-04']
['11', '刘伯锋', '其他私募投资基金管理人', '四川省', 'P1003702', '2014-02-27', '2014-06-04']
['12', '刘小东', '其他私募投资基金管理人', '江苏省', 'P1003707', '2012-12-03', '2014-06-04']
['13', '孟令军', '私募证券投资基金管理人', '江苏省', 'P1003712', '2010-03-04', '2014-06-04']
['14', '徐铭崎', '私募证券投资基金管理人', '浙江省', 'P1003716', '2013-01-21', '2014-06-04']
['15', '程福刚', '私募股权、创业投资基金管理人', '上海市', 'P1003719', '2014-04-10', '2014-06-04']
['16', '王刚', '私募证券投资基金管理人', '大连市', 'P1003720', '2013-06-19', '2014-06-04']
['17', '王文生', '私募证券投资基金管理人', '北京市', 'P1003722', '2014-04-08', '2014-06-04']
['18', '张鹏', '私募股权、创业投资基金管理人', '北京市', 'P1003723', '2010-12-24', '2014-06-04']
['19', '苗跻欧', '私募股权、创业投资基金管理人', '天津市', 'P1003726', '2010-12-30', '2014-06-04']
['20', '孔德胜', '私募证券投资基金管理人', '天津市', 'P1003727', '2012-11-06', '2014-06-04']
['1', '李勇', '私募证券投资基金管理人', '天津市', 'P1003731', '2013-07-17', '2014-06-04']
['2', '杨建伟', '私募股权、创业投资基金管理人', '天津市', 'P1003734', '2012-12-07', '2014-06-04']
['3', '朱禾申', '私募证券投资基金管理人', '天津市', 'P1003737', '2012-04-19', '2014-06-04']
['4', '徐树山', '私募股权、创业投资基金管理人', '天津市', 'P1003738', '2010-06-01', '2014-06-04']
['5', '王雴', '私募股权、创业投资基金管理人', '天津市', 'P1003739', '2010-05-24', '2014-06-04']
['6', '杨文浩', '私募股权、创业投资基金管理人', '上海市', 'P1003744', '2007-08-14', '2014-06-04']
['7', '吴蓉晖', '私募股权、创业投资基金管理人', '北京市', 'P1003745', '2014-02-20', '2014-06-04']
['8', '张初晗', '私募股权、创业投资基金管理人', '陕西省', 'P1003746', '2013-05-30', '2014-06-04']
['9', '李萍萍', '私募股权、创业投资基金管理人', '天津市', 'P1003747', '2011-03-21', '2014-06-04']
['10', '陈彩秀', '私募证券投资基金管理人', '山东省', 'P1003749', '2014-04-11', '2014-06-04']
['11', '温清山', '私募股权、创业投资基金管理人', '北京市', 'P1003750', '2014-04-04', '2014-06-04']
['12', '刘京阳', '私募证券投资基金管理人', '安徽省', 'P1003753', '2012-03-06', '2014-06-04']
['13', '陈亚波', '私募股权、创业投资基金管理人', '湖北省', 'P1003756', '2010-08-02', '2014-06-04']
['14', '唐勖', '私募股权、创业投资基金管理人', '湖北省', 'P1003757', '2000-07-03', '2014-06-04']
['15', '谭再刚', '私募证券投资基金管理人', '湖北省', 'P1003758', '2009-06-05', '2014-06-04']
['16', '张波', '其他私募投资基金管理人', '湖北省', 'P1003759', '2012-12-07', '2014-06-04']
['17', '黄强', '私募证券投资基金管理人', '西藏自治区', 'P1003761', '2013-12-28', '2014-06-04']
['18', '姜霞', '私募证券投资基金管理人', '湖北省', 'P1003770', '2010-11-08', '2014-06-04']
['19', '马克', '私募股权、创业投资基金管理人', '新疆维吾尔自治区', 'P1003771', '2014-03-17', '2014-06-04']
['20', '那日苏', '私募股权、创业投资基金管理人', '北京市', 'P1003775', '2012-11-15', '2014-06-04']
['1', '李俊瑛', '私募股权、创业投资基金管理人', '北京市', 'P1003776', '2013-01-05', '2014-06-04']
['2', '刘福英', '私募股权、创业投资基金管理人', '北京市', 'P1003778', '2012-07-16', '2014-06-04']
['3', '孙莉', '私募股权、创业投资基金管理人', '深圳市', 'P1003779', '2013-12-20', '2014-06-04']
['4', '熊燕斌', '私募股权、创业投资基金管理人', '江西省', 'P1003780', '2013-09-12', '2014-06-04']
['5', '张弛', '私募股权、创业投资基金管理人', '江苏省', 'P1003782', '2013-09-25', '2014-06-04']
['6', '宋翔', '其他私募投资基金管理人', '天津市', 'P1003789', '2011-08-23', '2014-06-04']
['7', '卜海泉', '私募证券投资基金管理人', '云南省', 'P1003799', '2013-11-15', '2014-06-04']
['8', '李忠良', '私募股权、创业投资基金管理人', '浙江省', 'P1003803', '2010-07-16', '2014-06-04']
['9', '陈文', '私募证券投资基金管理人', '宁波市', 'P1003807', '2013-08-19', '2014-06-04']
['10', '陈向明', '私募股权、创业投资基金管理人', '浙江省', 'P1003808', '2013-07-19', '2014-06-04']
['11', '倪建水', '其他私募投资基金管理人', '浙江省', 'P1003809', '2004-05-27', '2014-06-04']
['12', '吴单丹', '私募股权、创业投资基金管理人', '北京市', 'P1003813', '2014-03-20', '2014-06-04']
['13', '谭波', '私募股权、创业投资基金管理人', '深圳市', 'P1003815', '2013-09-10', '2014-06-04']
['14', '王颂', '私募股权、创业投资基金管理人', '北京市', 'P1003819', '2013-08-28', '2014-06-04']
['15', '廖剑', '私募股权、创业投资基金管理人', '北京市', 'P1003822', '2013-09-23', '2014-06-04']
['16', '王顺志', '其他私募投资基金管理人', '北京市', 'P1003823', '2011-02-11', '2014-06-04']
['17', '李宏强', '私募证券投资基金管理人', '北京市', 'P1003825', '2011-09-27', '2014-06-04']
['18', '刘珂', '私募股权、创业投资基金管理人', '北京市', 'P1003828', '2014-04-24', '2014-06-04']
['19', '雷虹', '私募股权、创业投资基金管理人', '北京市', 'P1003831', '2008-08-12', '2014-06-04']
['20', '余德俐', '私募证券投资基金管理人', '广东省', 'P1003841', '2011-05-16', '2014-06-04']
['1', '冯启华', '私募证券投资基金管理人', '北京市', 'P1003846', '2013-08-05', '2014-06-04']
['2', '冯化雪', '私募证券投资基金管理人', '北京市', 'P1003848', '2006-06-06', '2014-06-04']
['3', '曾琪', '私募股权、创业投资基金管理人', '北京市', 'P1003851', '2014-03-20', '2014-06-04']
['4', '宋雯', '私募股权、创业投资基金管理人', '上海市', 'P1003852', '2013-10-29', '2014-06-04']
['5', '高永岗', '私募股权、创业投资基金管理人', '上海市', 'P1003853', '2014-02-27', '2014-06-04']
['6', '李汉国', '私募股权、创业投资基金管理人', '上海市', 'P1003855', '2014-03-27', '2014-06-04']
['7', '杨小川', '私募证券投资基金管理人', '重庆市', 'P1003858', '2013-11-12', '2014-06-04']
['8', '周丹', '私募证券投资基金管理人', '重庆市', 'P1003859', '2008-04-30', '2014-06-04']
['9', '郝艺州', '私募股权、创业投资基金管理人', '重庆市', 'P1003863', '2013-07-16', '2014-06-04']
['10', '陈文俊', '私募股权、创业投资基金管理人', '重庆市', 'P1003868', '2013-11-27', '2014-06-04']
['11', '徐志强', '重庆市', 'P1003870', '2011-03-07', '2014-06-04']
['12', '谢仁义', '重庆市', 'P1003874', '2013-06-09', '2014-06-04']
['13', '郭晓', '私募证券投资基金管理人', '重庆市', 'P1003875', '2013-06-14', '2014-06-04']
['14', '张明全', '私募股权、创业投资基金管理人', '重庆市', 'P1003876', '2013-09-23', '2014-06-04']
['15', '李春华', '私募证券投资基金管理人', '重庆市', 'P1003881', '2014-03-31', '2014-06-04']
['16', '司阳', '私募股权、创业投资基金管理人', '重庆市', 'P1003882', '2014-01-24', '2014-06-04']
['17', '黄小宁', '私募证券投资基金管理人', '重庆市', 'P1003883', '2013-06-27', '2014-06-04']
['18', '王宗立', '私募股权、创业投资基金管理人', '重庆市', 'P1003890', '2011-08-15', '2014-06-04']
['19', '杜刚', '私募股权、创业投资基金管理人', '重庆市', 'P1003891', '2014-03-17', '2014-06-04']
['20', '孟君', '私募股权、创业投资基金管理人', '重庆市', 'P1003893', '2013-12-27', '2014-06-04']
['1', '吴承晨', '私募股权、创业投资基金管理人', '天津市', 'P1003894', '2006-02-28', '2014-06-04']
['2', '郝晓晖', '私募证券投资基金管理人', '广东省', 'P1003898', '2010-06-17', '2014-06-04']
['3', '李洋', '私募股权、创业投资基金管理人', '广东省', 'P1003899', '2014-01-17', '2014-06-04']
['4', '钱毅', '私募证券投资基金管理人', '江西省', 'P1003901', '2013-12-11', '2014-06-04']
['5', '贾晓蓉', '私募证券投资基金管理人', '北京市', 'P1003904', '2013-07-01', '2014-06-04']
['6', '吉中山', '私募股权、创业投资基金管理人', '上海市', 'P1003906', '2014-03-26', '2014-06-04']
['7', '何荣保', '私募股权、创业投资基金管理人', '海南省', 'P1004008', '2008-06-12', '2014-06-22']
['8', '袁毛玲', '私募股权、创业投资基金管理人', '北京市', 'P1002611', '2011-12-14', '2014-06-26']
['9', '刘红', '私募证券投资基金管理人', '上海市', 'P1003915', '2013-09-16', '2014-06-27']
['10', '林艺', '私募股权、创业投资基金管理人', '北京市', 'P1003917', '2011-01-28', '2014-06-27']
['11', '王一非', '私募股权、创业投资基金管理人', '山西省', 'P1003918', '2012-11-14', '2014-06-27']
['12', '王毅', '私募证券投资基金管理人', '深圳市', 'P1003919', '2011-04-08', '2014-06-27']
['13', '孔宪舒', '私募证券投资基金管理人', '上海市', 'P1003920', '2012-03-06', '2014-06-27']
['14', '涂俊', '私募证券投资基金管理人', '深圳市', 'P1003921', '2012-05-15', '2014-06-27']
['15', '闻健', '私募证券投资基金管理人', '上海市', 'P1003922', '2011-03-10', '2014-06-27']
['16', '吴荣娟', '私募证券投资基金管理人', '福建省', 'P1003923', '2003-06-03', '2014-06-27']
['17', '陈东晓', '私募证券投资基金管理人', '深圳市', 'P1003924', '2014-05-21', '2014-06-27']
['18', '韩海清', '私募证券投资基金管理人', '北京市', 'P1003925', '2014-04-01', '2014-06-27']
['19', '钱华', '私募证券投资基金管理人', '上海市', 'P1003927', '2014-05-28', '2014-06-27']
['20', '彭天贵', '私募证券投资基金管理人', '四川省', 'P1003930', '2013-01-05', '2014-06-27']
['1', '张野', '私募股权、创业投资基金管理人', '北京市', 'P1003931', '2011-11-17', '2014-06-27']
['2', '李新', '私募股权、创业投资基金管理人', '青海省', 'P1003933', '2013-12-18', '2014-06-27']
['3', '张志海', '私募证券投资基金管理人', '深圳市', 'P1003934', '2013-04-24', '2014-06-27']
['4', '李华轮', '私募股权、创业投资基金管理人', '上海市', 'P1003936', '2014-04-18', '2014-06-27']
['5', '陶小江', '私募证券投资基金管理人', '江苏省', 'P1003937', '2014-03-24', '2014-06-27']
['6', '王江平', '私募证券投资基金管理人', '北京市', 'P1003938', '2014-05-09', '2014-06-27']
['7', '侯彬', '私募证券投资基金管理人', '北京市', 'P1003939', '2014-05-04', '2014-06-27']
